词语	义项描述	语料
长	抚养，抚育	鲁哀公与孔子言曰：“寡人生于深宫之中，[长]于妇人之手。”事见孙卿子也。
长	生长	论曰：自帝室王公之冑，皆生[长]脂腴，不知稼穑，其能厉行饬身，卓然不髃者，或未闻焉。
长	加长，延长	木茎非能[长]也，所立者然也。
长	长度	七年六月十三日河内野王山上有龙死，[长]可数十丈，续志作六月壬子，此云“七月”，似误。
长	长度	秦始皇之时，十五年彗星四见，久者八十日，[长]或竟天。其後秦遂以兵灭六王，并中国，外攘四夷，死人如乱麻，因以
长	成年人，年纪大的，与“幼”相对	如淳曰：令郡国官有好文学敬[长]肃政教者，二千石奏上，与计偕，诣太常受业如弟子也。
长	长大，成年	生而同声，[长]而异俗。
长	长处，专长	师古曰：「以变化之道为[长]也。[长]读如本字。一曰长谓崇长之也，音竹两反。下皆类此。」
长	远，不近	溯洄从之，道阻且[长]。
长	长久	天[长]地久有时尽，此恨绵绵无绝期。
长	做长官，为首领	天地使我[长]百兽，今子食我，是逆天帝命也。
长	擅长	西人[长]火器而短技击。
长	居首位的	小子惟一妹土，嗣尔股肱，纯其艺黍稷，奔走事厥考厥[长]。
长	居首位的	元，善之[长]也。
朝	朝廷	孝武太元八年二月癸未，黄雾四塞。是时，道子专政，亲近佞人，[朝]纲方替。
朝	早晨	时盛暑热，人尽寒心。帝求米五斛、牛骨五具以赐左右，傕曰：“[朝]餔上饭，何用米为？”
朝	访，见	斯罗、阿陀、比罗、阿夷义多、婆那伽、伽师达、于阗诸国并遣使[朝]献。丙午，以去年旱俭，遣使者所在赒恤。
朝	访，见	修政，法文、武、成、康之遗风，诸侯复宗周。十二年，鲁武公来[朝]。
朝	朝廷	有司莫敢举奏。冒浊苟容，不顾耻辱，不当蒙方正举，备内[朝]臣。」并劾红阳侯立选举故不以实。有诏免咸，勿劾立。
朝	朝廷	止足之分，臣所宜守。而偷荣昧进，日尔一日，谤讟既集，上尘圣[朝]。始欲自闻，而先帝登遐，区区微诚，竟未上达。
朝	朝代	今望怀义忘罪，当仁不让，若绳之以法，忽其本情，将乖圣[朝]爱育之旨。”帝嘉意议，赦而不罪。
朝	早晨	[朝]发白帝，暮到江陵。
朝	访，见	[朝]其母，其母方绩。
朝	天，日	“陶恭祖本以材略见重于公，一[朝]以醉饮过失，不蒙容贷，远弃不毛，厚德不终，四方人士安所归望！不
朝	政事	安帝永初元年，邓太后临[朝]，故得志也。
朝	对，向	臣瓒曰：「谓[朝]於陇首而览西北也。」师古曰：「陇坻之首也。垠，■也。坻音丁礼反
朝	早晨	晨行踏忍草，夜诵得灵花。 江郡将何匹，天都亦未加。[朝]来沿泛所，应是逐仙槎。
朝	古代官府的朝堂	赤也,束带立于[朝],可使与宾客言也
朝	政事	废，宝晊望物情归己，坐待法驾，既而城内送首诣梁王。宣德太后临[朝]，以宝晊为太常。宝晊不自安，谋反，兄弟皆伏诛。
朝	使......朝见	光明烛地，坠于河，声闻九百余里。黑龙见鄴井中，勒观龙有喜色。[朝]其群臣于鄴。
朝	朝代	广达怆本[朝]沦覆，遘疾不治，寻以愤慨卒，时年五十九。尚书令江总抚柩恸哭，乃
朝	政事	和帝女临颍长公主。主兼食颍阴、许，合三县，数万户。时邓太后临[朝]，光宠最盛，以建为侍中，顺帝时为光禄勋。
朝	朝代	侯。子恂嗣。恂薨，无嗣。弟温绍封。咸熙中开建五等，以泰著勋前[朝]，改封温为慎子。
朝	天，日	开岁发春兮，百卉含英。甲子之[朝]兮，汨吾西征。发轫新丰兮，回镐京。陵飞廉而太息兮
朝	天，日	论语孔子曰：“忿思难。”又曰：“一[朝]之忿，忘其身以及其亲，非惑与？”
朝	初	然后月朝卜日，月夕卜宅。
朝	使......朝见	阳谷之会，桓公委、端、搢笏而[朝]诸侯，诸侯皆谕乎桓公之志。
朝	使......朝见	欲辟土地，[朝]秦楚。
朝	对，向	坐南[朝]北。
乘	驾，坐	耕车，其饰皆如之。有三盖。一曰芝车，置耒耜之箙，上亲耕所[乘]也。
乘	驾，坐	大者王，小者乃侯耳；不来，且举兵加诛焉。”田横乃与其客二人[乘]传诣雒阳。
乘	顺应，乘着	恩泽不逮于单门。宁饥寒于尧舜之荒岁兮，不饱暖于当今之丰年。[乘]理虽死而非亡，违义虽生而匪存。
乘	顺应，乘着	再世权戚，威振天下。冀自诛太尉李固、杜乔等，骄横益甚，皇后[乘]埶忌恣，多所鸩毒，上下钳口，
乘	一车四马的总称	中心恋恋，恻然不能言。”于是车驾祖送，流涕而诀。复赐[乘]舆服御，珍宝舆马，钱布以亿万计。
乘	驾，坐	﹑李守等亦云刘秀当为天子。其王者受命，信有符乎？不然，何以能[乘]时龙而御天哉！
乘	顺应，乘着	[乘]今之时，因无之助。
乘	一车四马的总称	[乘]舆备文，日月星辰十二章，三公、诸侯用山龙九章，九卿以下用华虫七
乘	一车四马的总称	“韂灵公与夫人同车，宦者雍渠参[乘]。孔子曰：‘吾未见好德如好色者也。’于是丑之，去韂适曹。”遗轻
乘	升，登	奔流翻石矶。倚岩假松盖，临水羡荷衣。 不得采苓去，空思[乘]月归。且怜东皋上，失（一作黍）色侵荆扉。
乘	辆	超[乘]者三百[乘]。
乘	凭恃，依仗	车徒凤掖东，去去洛阳宫。暂以青蒲隔，还看紫禁同。 经过[乘]雨露，潇洒出鸳鸿。官署名台下，云山旧苑中。 暮天双阙静，
乘	运算方法之一。两数相倍叫乘，即今算术的乘法	辰得三气，乃能施化。故每辰者，以三统之数[乘]之，是谓九三之法，得积万九千六百八十三。」
乘	辆	出击胡，获首四万。其秋，浑邪王率数万之众来降，於是汉发车二万[乘]迎之。既至，受赏，赐及有功之士。是岁费凡百余巨万。
乘	辆	初，京都童谣曰：“城上乌，尾毕逋。公为吏，子为徒。一徒死，百[乘]车。
乘	凭恃，依仗	初，吴王之度淮，与楚王遂西败棘壁，[乘]胜而前，锐甚。梁孝王恐，遣将军击之，又败梁两军，士卒皆还走。梁
乘	凭恃，依仗	初，吴王之度淮，与楚王遂西败棘壁，[乘]胜前，锐甚。梁孝王恐，遣六将军击吴，又败梁两将，士卒皆还走梁。
乘	运算方法之一。两数相倍叫乘，即今算术的乘法	东九西七[乘]岁数，并九七为法，得一，金、水晨夕岁数。
乘	交加，连接	顾自民国肇造，变乱纷[乘]。
乘	运算方法之一。两数相倍叫乘，即今算术的乘法	会月六千三百四十五。以会数[乘]朔望之会，得会月。
乘	升，登	亟其[乘]屋。
乘	升，登	客似秋叶飞，飘摇不言归。 别後罗带长，愁宽去时衣。[乘]月托宵梦，因之寄金徽。 高楼入青天，下有白玉堂。明月看欲堕，
乘	四	李奇曰：「宜言卢弓。」韦昭曰：「路，大也。四矢曰[乘]。」师古曰：「韦说是也。又於坛下获弓矢之应。」
乘	压	遂疾进师，车驰，卒奔，[乘]晋军。
乘	四	以[乘]韦先，牛二十犒师。
乘	交加，连接	阴，元后也。阳，汉也。王氏舜後，土也。汉，火也。故曰土火相[乘]，阴盛而沙麓崩。」
乘	战胜	周人[乘]黎。
城	守城	（李）应庚发两路兵[城]南[城]。
城	守城	（主父死惠文王立立）五年，与燕¤、易。八年，[城]南行唐。九年，赵梁将，与齐合军攻韩，至鲁关下。及十年，秦自置为
城	城市	楚怀王初封项籍为鲁公，及其死，鲁最後下，故以鲁公礼葬项王谷[城]。汉王为发哀，泣之而去。
城	城市	晋射伤楚共王目，俱罢而去。十三年，晋悼公伐郑，兵於洧上。郑[城]守，晋亦去。
城	城市	乃敢自言“我¤王子也”。於是莒人共立法章，是为襄王。以保莒[城]而布告齐国中：“王已立在莒矣。”
城	城墙	[城]非不高也，池非不深也。
城	守城	¤公十五年，韩景侯伐郑，取雍丘。郑[城]京。
城	修筑城墙	白¤而献之，且言田弋之说，因访政事。伯阳大说之，有宠，使为司[城]以听政。梦者之子乃亡去。
城	修筑城墙	悼公享国十五年。葬僖公西。[城]雍。生剌龚公。
城	城墙	二十二年，王贲攻魏，引河沟灌大梁，大梁[城]坏，其王请降，尽取其地。
城	城墙	高帝南过曲逆，上其[城]，望见其屋室甚大，曰：“壮哉县！吾行天下，独见洛阳与是耳。”顾
城	修筑城墙	简公六年，令吏初带剑。堑洛。[城]重泉。十六年卒，子惠公立。
诚	表肯定，果真，确实	！非质有其内，恶能用之哉？甚矣，“安危在出令，存亡在所任”，[诚]哉是言也！
诚	心意真诚	（大方诸佛说[诚]言，舌相三千广赞宣。池上托生莲九品，未知生向那枝边。）
诚	心意真诚	（尽性之道。愿方为世唾弃，曷能明子贡不传之旨。荷来[诚]既切，竟以诞圣于北方壬癸之位，为水调一词以谢，
诚	心意真诚	(老旦、旦、丑俱下。净)请老员外通[诚]。好筊好筊。三圣连迎筊，灾殃疾病消。
诚	表肯定，果真，确实	（言早无恃），事姑贻我忧。赖兹托令门，仁恤庶无尤。 贫俭[诚]所尚，资从岂待（一作在）周。孝躬遵妇道，容止顺其猷。
诚	表肯定，果真，确实	（一作辉光耀四邻），敬恭尊郡守。 笺简具州民，谬忝[诚]所愧。思怀方见申，置榻宿清夜。 加笾宴良辰，遵涂还盛府。
诚	表假设条件下的真实，假如真的	[诚]如是，则霸业可成，汉室可兴矣。
诚	表假设条件下的真实，假如真的	“今秦与楚接境壤界，固形亲之国也。大王[诚]能听臣，臣请使秦太子入质於楚，楚太子入质於秦，请以秦女为大王箕
诚	表假设条件下的真实，假如真的	〔人之所养，气定而后形固，形固而后神全，神全而后心正，[诚]能有之则宠辱不惊，喜怒不触。
诚	使真诚，使真实	不见其[诚]己而发，每发而不当；业入而不舍，每更为失
诚	真实	堯舜不復生，將誰使定儒、墨之诚乎。
池	水塘，湖	（武丘寺也），王楼月自新。（郡内东南楼名也），[池]塘闲长草。 丝竹废生尘，暑遣烧神酎。晴教煞舞茵，待还公事了。
池	水塘，湖	（做意了）恰随妹妹闲行散闷些。到[池]沼，蓦观绝，越教人叹嗟。
池	水塘，湖	尽据匈奴故地，东西万四千余里，南北七千余里，网罗山川水泽盐[池]。
池	护城河	救曹泥，取万俟受洛干，大收其用。河西费也头虏纥豆陵伊利居河[池]，恃险拥众，神武遣长史侯景屡招不从。
池	护城河	【仙吕】【点烽唇】锦绣华夷，忽从西北天兵起。觑那关口城[池]，马到处成平地。
池	护城河	被曹操攻破徐州，屯军在古城。他遣一将持一封书，问某借一城[池]，屯军养马。今年三月三，请玄德公赴襄阳会，玄德公来呵，
池	承霤	金芝九莖産于函德殿銅[池]中．
池	葬车的一种棺饰	商祝飾柩一[池]紐。
池	字画和被头以及衣物边缘的镶饰	衣被皆重[池]， 難與沉水碧。
除	拜官授职	[除]安成王征虏参军，主簿，尚书殿中郎，出为庐陵内史，豫州治中，太祖
除	拜官授职	[除]安西将军、雍州刺史。城北渭水浅不通船，行人艰阻。亮谓僚佐曰：“
除	拜官授职	[除]肥镇远将军、兗州刺史，给步骑二万，南徇许昌，略地至彭城。司马德
除	去掉，除去	[除]伏逆，一见六百三十六日，行百三度。伏复，七十一日二千
除	去掉，除去	八〕而大功未着，小恶数布，臣窃痛之！宜以时解县通籍，[除]过勿治，尊宠爵位，以劝有功。」
除	修治，整治	柏梁赋诗高宴罢，诏书法驾幸河东。 河东太守亲扫[除]，奉迎至尊导銮舆。五营夹道列容卫，三河纵观空里闾。
除	赐予	俾爾單厚，何福不[除]。
除	去掉，除去	逋布、口钱、宿债勿复收。其犯乡论清议，赃污淫盗，一皆荡涤，洗[除]前注，与之更始。”
除	不计算在內，除了，除此以外	晨晷促夕漏延。大阴极微阳宣。此下[除]二句  皇帝还东壁，受福酒，奏《嘉胙乐》歌辞太庙同用：
除	道	從至雍械腸宫， 扶輦下[除]，觸柱折轅。
除	不计算在內，除了，除此以外	而今已矣![除]吾死外，当无见期。
除	修治，整治	即[除]魏阉废祠之址以葬之。
除	不计算在內，除了，除此以外	李奇曰：「左，证左也。」师古曰：「谓之左者，言[除]罪人正身之外，又取其左右者考问也。」
除	指除丧	其[除]父之喪也，服其[除]服。
除	除法，运算方法	日余乘之，满中法得一，名曰大余，不满为小余，大余满六十[除]去之，其余以蔀名命之，筭尽之外，则前年冬至之日也。
除	修治，整治	若[除]丧而后归，则之墓，哭成踊，东括发袒，拜宾成踊，送宾 反位，又哭尽哀，遂[除]，于家不哭。
除	除法，运算方法	四日，日余三千四百八十九。日余满日法成日，日满二十七去之。又[除]余如周日余，日余不足[除]者，减一日，加周虚。
除	夏历四月的別称	四月為[除]。
除	除法，运算方法	通法乘月余，以合月法乘朔小余，并之，会数约之，所得各以日度法[除]之，则皆是。
除	殿阶，台阶	一三四一页一四行修涂飞阁按：校补谓文选“涂”作“[除]”，注“[除]，楼陛也”。
除	殿阶，台阶	张晏曰：「主扶辇下[除]道也。」师古曰：「[除]谓门屏之间。」
除	除地为壇，诸侯会盟处	子產命外僕速張於[除]。
除	殿阶，台阶	自前殿南下椒[除]。
传	传送，传递，传达	【东瓯令】 (老旦上)瑞兰！寻思苦，路生疏。军喊风[传]行路促，娘儿挽手相回护，这苦难分诉。望天天怜念老身孤，
传	传送，传递，传达	【哭相思】 妮子[传]呼意甚美，尚未审凶和喜。儿，王守公正是你丈夫。
传	传送，传递，传达	【懒画眉】烦伊[传]递彩云笺，你到吾家可代言。代言怎么说？
