爱,1.喜爱，爱好。如：[爱]此沧江闲白鸥。2.通""薆(ài)""，隐蔽，躲藏。如：[爱]而不见，搔首踟躇。3.爱护，加惠，钦慕，爱戴。如：[爱]好人物，善诱无倦，士类以此高之。"
使,1.致使，让，叫。如：[使]斛律金敕勒歌，神武自和之，哀感流涕。2.命令，派遣。如：[使]民椎冰以通船，民惮役而亡。3.假如，如果。如：[使]胜得奉神武，以讨不庭，皆如此也。
是,1.表示肯定判断之词。如：[是] 故天子之祭也，与天下乐之；诸侯祭也，与竟内乐之。2.对的，正确的。如：[是]非标竞差等其了议，即我襄阳神会和上，悟无生法忍，得无碍智3.赞同，认为正确，肯定。如：[是]皇帝之所听荧也，而丘也何足以知之！
适,1.通“惕”，【适适】惊恐的样子。如：[适][适]然惊，规规然自失也。2.刚刚，方才。如：[适]报魏王平蜀，得蜀金银五十万，当悉给尔等。3.通“敌”，敌人。如：[适]不得与我战者，膠其所之也。
书,"1.书籍，装订成册的著作。如：[书]以付归有德之君，宜以示凡人，人乃天地之子，万物之长也。2.特指《尚书》，泛指一切经书。如：《[书]》曰：""满招损，谦得益”3.官职。如：罢给事中、中[书]舍人、检正等官，仍设左右司，省六部为四，改称中[书]。"
孰,1.疑问代词，谁，什么。如：[孰]居无事陪犀首，未办求封遇万松。2.谷物成熟，后来写作“熟”。如：常山之东河汝之间蚤生而晚杀五谷之所蕃[孰]也，3.考虑成熟，后来写作“熟”。如：臣愿大王[孰]计而身行之，此百世不易之道也。
属,1.官属，部属，家属。如：[属]官有太仓、均输、平准、都内、籍田五令丞，斡官、铁市两长丞。2.适逢，正当。如：[属]岁饥，出俸金及官库所积赈之，活数十万人。3.系，是，归属，隶属。如：[属]县皆下，惟城父令李用宜不降，其妻子在亳，春以为质，竟不屈而死。
数,1.屡次。如：[数]出练兵陕西、北平、山东、河南。2.细密。如：[数]罟不入洿池3.数落，责备。如：[数]吕师孟叔侄为逆。
遂,1.就，于是。如：[遂]北渡河，攻蕃，破之，水道得通。2.通“邃”，深远。如：[遂]古之初，谁传道之？3.顺遂，通达，成功，完成。如：[遂]生意于无益，弃死者之所属，知者所不行也。
率,1.捕鸟的丝网。如：[率]，捕鸟毕也。2.率领，带领，通“帅”。如：[率]蕃汉万人出石岭关，过太原，求发军钱。3.直率，坦率。如：[率]心奉上，不顾嫌疑。
说,1.“唾”，吐唾沫。如：[说]，吐活反。2.通“悦”，，喜欢，高兴。如：[说]，音悦。3.讲述。如：[说]罢，便把众衙役瞅了一眼，喝道：“此时不拿，更待何时。”
私,1.私人的，自己的。如：[私]奴婢媪争言：“先司徒土地，奈何一旦割之？2.非法的。如：[私]赏禁于下，则民力抟于敌；抟于敌，则胜。3.个人事物。如：彼世俗之[私]已兮，每自予于曲全。
素,1.空，白白地。如：[素]饱，如《诗》言“[素]餐”。2.向来，从来就，平日。如：[素]富贵，行乎富贵；[素]贫贱，行乎贫贱；[素] 夷狄，行乎夷狄；[素]患难行乎患难，君子无入而不自得焉。3.没有染色的丝绸。如：[素]锦褚，加伪荒。
汤,"1.商王朝的建立者。如：[汤]武之王也,不循古而兴2.菜汤。如：[汤]羊美酒，尽贴封皮；异果时新，高堆盘盒。3.通“烫”。加热，用热水焐。。如：[汤]云出水殿，暖气入山营。"
涕,1.眼泪。如：’”於是吕泽立夜见吕后，吕后承间为上泣[涕]而言，如四人意。2.流泪，哭泣。如：垂丝蜀客[涕]濡衣，岁尽长沙未得归。3.痰。如：肺中寒，吐浊[涕]。
通,1.了解，精通。如：[通]其变使民不倦赋[通]物之变民用无倦。2.到达，通往。如：[通]于四方而天下诸候。3.顺利。如：[通]則一天下，窮則獨立貴名，天不能死，地不能埋，桀跖之世不能污，非大儒莫之能立，仲尼、子弓是也。
徒,1.独，仅仅。如：[徒]论徐公之奢俭，莫见子文之愠喜。2.徒然，白白地。如：[徒]取诸彼以与此，然且仁者不为，况于杀人以求之乎？3.空的，不凭借什么的。如：[徒]手搏虎。
图,1.图谋，谋取。如：[图]黄门郎，帝尝问之曰：“西州时手板何在？”2.谋划，思虑，设法对付。如：[图]吉凶者，宜皆以堂。3.地图，图画。如：[图]宅术曰：“商家门不宜南向，徵家门不宜北向。”
退,"1.退却，后退。如：[退]，西面鞠躬，附奏起居，谢面天颜、远接等，皆2.贬退，撤销或降低职务。如：[退]而谓人曰：“仁达智略，在吾世可用，不可遗后世患。”3.退缩，谦逊，谦让,隐退。如：伯玉[退]，即治归，遂以显文阁待制出知隆兴府。"
亡,1.灭亡。如：[亡]宋军有手号及无手号者，并听为民。2.失去，遗失。如：哀帝建平中，豫章有男子化为女子，嫁为人妇，生一子，长安陈凤言此阳变为阴，将[亡]继嗣，自相生之象。3.逃跑，逃亡。如：按：卢文劭校独断谓鋄，[亡]犯切，马头饰也，旧斗从涥。
王,1.天子，君主，诸侯王。如：[王]不问委曲，直决痛杖一百，是以背痛也。2.统治，成就王业，称王。如：[王]此大邦，克顺克比。3.胜过。如：常季曰:“彼兀者也，而[王]先生，其与庸亦远矣。”
望,1.远望。如：[望]北山而流涕兮，临流水而太息。2.期望，盼望。如：[望]陛下大奋乾刚，时召大臣，咨询边将勇怯。3.向，对着。如：[望]朱砂庵而登。
恶,1.叹词。如：[恶]！是何言也。2.讨厌，憎恶，引申为嫉妒。如：[恶]不仁者，又是那一等天资耿介底人，亦其真知不仁之可[恶]而实[恶]之，故凡不仁之事，不使毫发加诸己。3.表示疑问，相当于“何”，“怎么”。如：[恶]得之？
微,1.卑贱。如：[微]臣多幸逢佳节，得赋殊祥近御帘。2.非，不是，无，没。如：[微]夫斯之为符也，以登介丘，不亦恧乎！3.小，细，劭。如：[微]忽之言，久而可复，幽间之行，独而弗克，其行亡如存，曰顺信者也。
闻,1.闻名，出名。如：[闻]达于诸侯。2.听说，知道。如：[闻]道岭南太守，后堂深、绿珠娇小。3.听见。如：’声无细而弗[闻]，事未形而必彰者，其此之谓也。”
相,1.共，互相，交互，先后。如：[相]传以为雁荡2.国君的辅佐大臣。如：[相]府初建，或有未充，请留职僚同事而已，自此以外，及诸资实，一送司徒。3.占视，辨察，以断吉凶祸福。如：[相]君之面，不过封侯，又危不安。
谢,1.凋落，消逝。如：(阙)筑馆之盛，乃从受邑之期，优典未彰，幼龄已[谢]，追怀既往，痛悼滋深。2.人名。如：[谢]安见其草，辄改之，由是历旬不就。3.感谢。如：[谢]辞曰：“此诗，公作长所制，请以锦赐之。”
悉,1.知道。如：[悉]尔心，毋作怨，毋作C97B德，毋乃废备。2.都，全部。如：[悉]使羸兵负草填之。3.详尽，详细。如：百年长扰扰，万事[悉]悠悠。
信,1.人名。如：[信]庵赵公遣闲物色，捐金资得之以反，县国印与告身俱存。2.相信，信任。如：[信]马腾腾触处行，春风相引与诗情。3.确实，的确，果真。如：[信]能行此五者，则邻国之民，仰之若父母矣。
兴,1.兴起，起来，推举。如：[兴]，谓有所感发而[兴]起也。2.人名。如：[兴]霸曰：“吾乃九龙岛炼气士李[兴]霸；因助张桂芳西岐失利，在此少坐片时。3.流行。如：[兴]道而迁义，刑错而不用，德隆乎三皇，功羡於五帝。
行,1.行走。如：[行]度水火，以此丹涂足下，可步[行]水上。2.经历。如：[行]年二十有五，伉俪犹虚。3.道路。如：[行]有死人，尚或墐之。
修,1.兴建，建造。如：[修]堤梁，通沟浍。2.（学问，品行方面）学习，锻炼。如：[修]飞步之道，当思夫人姓讳形像3.整治。如：[修]累叶之殃源，祈一躬之福本，上以违忤君主，下则扇习浮华。
徐,1.人名。如：[徐]本，字立人，浙江钱塘人，尚书潮子。2.慢慢地，缓缓地。如：[徐]去其土，舟浮牛出。3.缓慢。如：不[徐]不疾，得之于手而应于心。
许,1.答应，允许，相信。如：[许]动支节年仓存蓟米，并动碾公穀。2.姓。如：[许]亮又告诉老残∶“探听切实，吴二浪子现在省城。”3.或许，可能。如：[许]是生病了
阳,1.地名。如：[阳]成子张作“乐”，扬子云造“玄”2.古代哲学概念，与“阴”相对。如：变宫调五正声内徵弦宫弦皆应阴吕，而二变反得[阳]律。3.温暖。如：春日载[阳]，有鸣仓庚。
要,1.需要，想要。如：[要]补谁就补谁罢咧，又问什么[要]不[要]呢。”2.总括，概括。如：[要]以成功为统纪3.表示假设，如果，要是。如：[要]有话，只回二奶奶。
宜,1.合适，适宜。如：[宜]，犹善也。2.应当，当然。如：[宜]及未议前，备条所议，布告与议者，俾先谂其故，然后平心商质，各尽所怀。3.相安，和顺。如：[宜]其家人，而后可以教国人。
遗,1.遗留，剩下。如：[遗]爱之涕，宣孟改冬日之和，平阳循画一之法。2.给予，馈赠。如：[遗]诸侯王书，陈诸吕之罪，欲举兵诛之。3.剩下，剩余。如：’公孝以要君致衅，自[遗]其咎，至已不能奋戈相待，反可容隐之乎！”
贻,1.遗留。如：[贻]，遗也。2.赠送。如：[贻]范屡以大杯献上，上不即持，[贻]范举杯直及上颐。
易,1.改变，更改。如：[易]敕诏，乃至骑马入殿，诋诃天子。2.《周易》的简称，古代卜筮书。如：[易]坤文言曰：“地道也，妻道也。”3.整治田亩。如：[易]其田畴，薄其税敛，民可使富也。
阴,1.幽暗，昏暗。如：[阴][阴]亭榭，暖烟轻柳，万缕黄金窣地。2.古代哲学概念，与“阳”相对。如：[阴]捕道：“你偷库内这四锭元宝，藏于何处？3.阴天，寒冷的气候。如：[阴]风怒号，浊浪排空。
引,1.招致，引起。如：( 一作损 ) 至於薄荷醉猫，死猫[引]竹之类，皆世俗常知，而翡翠屑金，人气粉犀，此二物，则世人未知者。2.引用。如：[引]此而言圣人之止，无非至善。3.举起，竖起。如：[引]其匕首提秦王，不中，中柱。
右,1.右边，右手一边的方位，与“左”相对。如：[右]毕拉音毕尔窦，屈东北，[右]东海滨省，分二支来会，折西北亦入之。2.尊者。古以右为尊，故称所尊者为右。如：朝[右]要君持汉典，明年北墅可须营。3.助，帮助，后多作“佑”。如：两江总督噶礼与巡抚张伯行互劾，命穆和伦往按，[右]噶礼，上责其是非颠倒，终直伯行。
逾,1.经历，经过。如：[逾]海越漠，献賝之礼备焉；架险航深，重译之词罄矣。2.超过，胜过。如：[逾]年，京召还朝，遂挟勔与俱，窜其父子名姓于童贯军籍中，皆得官。3.愈益，更加。如：暧空看早辨，映日度[逾]频。
造,1.制造，创建，培养。如：[造]大铜炉、六熟鼎，招亡奴盗取人牛马，亲视烹燖，召所幸厮养共食之。2.仓猝，突然。如：[造]受命于君前，则书于笏。3.到，往某地去，拜访。如：[造]与语未讫，济俯伏流涕曰：“济僻在遐裔，不知天子神圣，大臣忠荩。
知,1.智慧，后来写作“智”。如：[知]，音智。2.知道，了解，识别，区别，察觉。如：[知]，犹识也。3.知识，知觉。如：[知]至者，吾心之所[知]无不尽也。
置,1.树立，设立。如：（五五代[置]军六，皆寄治于县，隶于州，故不别出。2.废弃，舍弃。如：[置]大立少，乱之本也。3.安放，搁，摆。如：[置]酒召父老饮，极欢，曰：“吾去乡十有余年，艰难百战，乃得归省坟墓，与父老子弟复相见。
致,1.求取，获得。如：(孔安国曰：东原[致]功而平，言可耕也。2.致使，招致。如：[致]福，恐惧以[致]福也。3.通“至”。极，尽。如：[致]乐，以治心者也；结所由也。
质,1.素质，本质，禀性。如：[质]非文是终难久，脱冠还作扶犁叟。2.抵押，以财物或人作保证。如：[质]留子敞为监军，将敦自随，至是并为武昌郡所执送。3.责问，质问。如：[质]曰：“陛下杀之则可，若付有司，臣不敢署敕。”
治,1.治理，管理，统治，经营，整顿，训练。如：[治]国无法则乱。2.社会安定，太平(跟“乱”相对)。如：[治]则家断，乱则君断。3.惩处，惩办，对付。如：八年，鼇拜败，命康亲王杰书等鞫[治]，以鼇拜衔赐履，意图倾害，为罪状之一。
诸,1.众，各。如：[诸]白昼剽夺驿马，为首者处死，为从减一等流远。2.“之于”的合音。如：百姓兆民，夫人奉利而归[诸]上，是利之内也，若七德离判，民乃携贰，各以利退，上求不暨，是其外利也。3.代人，代事，代物，相当于“之”。如：勉勉不敢专，传之方在[诸]。
贼,1.强盗，抢劫或偷窃财物的人。如：[贼]挟刃索印，硃曰：“我命妇，印在此！2.伤害，杀害。如：[贼]民之主，不忠。3.作乱叛国或外来侵犯的人。如：[贼]平，进位侍中、使持节、骠骑大将军、开府仪同三司。
